"07459: Befolkning, etter region, kjønn, alder, statistikkvariabel og år"

"region";"kjønn";"alder";"Personer 2018"
"04 Hedmark";"Menn";"10 år";1127
"04 Hedmark";"Menn";"11 år";1138
"04 Hedmark";"Menn";"12 år";1079
"04 Hedmark";"Menn";"13 år";1181
"04 Hedmark";"Menn";"14 år";1157
"04 Hedmark";"Menn";"15 år";1119
"04 Hedmark";"Menn";"16 år";1131
"04 Hedmark";"Menn";"17 år";1283
"04 Hedmark";"Menn";"18 år";1328
"04 Hedmark";"Kvinner";"0 år";821
"04 Hedmark";"Kvinner";"1 år";842
"04 Hedmark";"Kvinner";"2 år";844
"04 Hedmark";"Kvinner";"3 år";884
"04 Hedmark";"Kvinner";"4 år";936
"04 Hedmark";"Kvinner";"5 år";1024
"04 Hedmark";"Kvinner";"6 år";967
"04 Hedmark";"Kvinner";"7 år";1000
"04 Hedmark";"Kvinner";"8 år";1074
"04 Hedmark";"Kvinner";"9 år";1027
"04 Hedmark";"Kvinner";"10 år";1038
"04 Hedmark";"Kvinner";"11 år";1094
"04 Hedmark";"Kvinner";"12 år";1053
"04 Hedmark";"Kvinner";"13 år";1108
"04 Hedmark";"Kvinner";"14 år";1103
"04 Hedmark";"Kvinner";"15 år";1077
"04 Hedmark";"Kvinner";"16 år";1176
"04 Hedmark";"Kvinner";"17 år";1184
"04 Hedmark";"Kvinner";"18 år";1170
"05 Oppland";"Menn";"0 år";850
"05 Oppland";"Menn";"1 år";934
"05 Oppland";"Menn";"2 år";883
"05 Oppland";"Menn";"3 år";1002
"05 Oppland";"Menn";"4 år";936
"05 Oppland";"Menn";"5 år";973
"05 Oppland";"Menn";"6 år";1036
"05 Oppland";"Menn";"7 år";1072
"05 Oppland";"Menn";"8 år";1099
"05 Oppland";"Menn";"9 år";1100
"05 Oppland";"Menn";"10 år";1074
"05 Oppland";"Menn";"11 år";1123
"05 Oppland";"Menn";"12 år";1153
"05 Oppland";"Menn";"13 år";1023
"05 Oppland";"Menn";"14 år";1131
"05 Oppland";"Menn";"15 år";1128
"05 Oppland";"Menn";"16 år";1173
"05 Oppland";"Menn";"17 år";1258
"05 Oppland";"Menn";"18 år";1302
"05 Oppland";"Kvinner";"0 år";770
"05 Oppland";"Kvinner";"1 år";855
"05 Oppland";"Kvinner";"2 år";911
"05 Oppland";"Kvinner";"3 år";908
"05 Oppland";"Kvinner";"4 år";923
"05 Oppland";"Kvinner";"5 år";964
"05 Oppland";"Kvinner";"6 år";909
"05 Oppland";"Kvinner";"7 år";1035
"05 Oppland";"Kvinner";"8 år";1008
"05 Oppland";"Kvinner";"9 år";1070
"05 Oppland";"Kvinner";"10 år";972
"05 Oppland";"Kvinner";"11 år";1037
"05 Oppland";"Kvinner";"12 år";990
"05 Oppland";"Kvinner";"13 år";1085
"05 Oppland";"Kvinner";"14 år";1112
"05 Oppland";"Kvinner";"15 år";1095
"05 Oppland";"Kvinner";"16 år";1129
"05 Oppland";"Kvinner";"17 år";1136
"05 Oppland";"Kvinner";"18 år";1152
"06 Buskerud";"Menn";"0 år";1438
"06 Buskerud";"Menn";"1 år";1428
"06 Buskerud";"Menn";"2 år";1563
"06 Buskerud";"Menn";"3 år";1620
"06 Buskerud";"Menn";"4 år";1618
"06 Buskerud";"Menn";"5 år";1668
"06 Buskerud";"Menn";"6 år";1733
"06 Buskerud";"Menn";"7 år";1726
"06 Buskerud";"Menn";"8 år";1799
"06 Buskerud";"Menn";"9 år";1868
"06 Buskerud";"Menn";"10 år";1813
"06 Buskerud";"Menn";"11 år";1832
"06 Buskerud";"Menn";"12 år";1703
"06 Buskerud";"Menn";"13 år";1800
"06 Buskerud";"Menn";"14 år";1731
"06 Buskerud";"Menn";"15 år";1654
"06 Buskerud";"Menn";"16 år";1759
"06 Buskerud";"Menn";"17 år";1851
"06 Buskerud";"Menn";"18 år";1825
"06 Buskerud";"Kvinner";"0 år";1382
"06 Buskerud";"Kvinner";"1 år";1415
"06 Buskerud";"Kvinner";"2 år";1500
"06 Buskerud";"Kvinner";"3 år";1572
"06 Buskerud";"Kvinner";"4 år";1516
"06 Buskerud";"Kvinner";"5 år";1643
"06 Buskerud";"Kvinner";"6 år";1635
"06 Buskerud";"Kvinner";"7 år";1693
"06 Buskerud";"Kvinner";"8 år";1663
"06 Buskerud";"Kvinner";"9 år";1714
"06 Buskerud";"Kvinner";"10 år";1651
"06 Buskerud";"Kvinner";"11 år";1661
"06 Buskerud";"Kvinner";"12 år";1706
"06 Buskerud";"Kvinner";"13 år";1719
"06 Buskerud";"Kvinner";"14 år";1607
"06 Buskerud";"Kvinner";"15 år";1606
"06 Buskerud";"Kvinner";"16 år";1636
"06 Buskerud";"Kvinner";"17 år";1643
"06 Buskerud";"Kvinner";"18 år";1710
"07 Vestfold";"Menn";"0 år";1251
