"07459: Befolkning, etter region, kjønn, alder, statistikkvariabel og år"

"region";"kjønn";"alder";"Personer 2018"
"50 Trøndelag";"Menn";"3 år";2690
"50 Trøndelag";"Menn";"4 år";2744
"50 Trøndelag";"Menn";"5 år";2685
"50 Trøndelag";"Menn";"6 år";2835
"50 Trøndelag";"Menn";"7 år";2859
"50 Trøndelag";"Menn";"8 år";2902
"50 Trøndelag";"Menn";"9 år";2878
"50 Trøndelag";"Menn";"10 år";2763
"50 Trøndelag";"Menn";"11 år";2830
"50 Trøndelag";"Menn";"12 år";2697
"50 Trøndelag";"Menn";"13 år";2747
"50 Trøndelag";"Menn";"14 år";2692
"50 Trøndelag";"Menn";"15 år";2747
"50 Trøndelag";"Menn";"16 år";2815
"50 Trøndelag";"Menn";"17 år";3013
"50 Trøndelag";"Menn";"18 år";2958
"50 Trøndelag";"Kvinner";"0 år";2451
"50 Trøndelag";"Kvinner";"1 år";2445
"50 Trøndelag";"Kvinner";"2 år";2545
"50 Trøndelag";"Kvinner";"3 år";2582
"50 Trøndelag";"Kvinner";"4 år";2635
"50 Trøndelag";"Kvinner";"5 år";2553
"50 Trøndelag";"Kvinner";"6 år";2610
"50 Trøndelag";"Kvinner";"7 år";2758
"50 Trøndelag";"Kvinner";"8 år";2737
"50 Trøndelag";"Kvinner";"9 år";2695
"50 Trøndelag";"Kvinner";"10 år";2644
"50 Trøndelag";"Kvinner";"11 år";2616
"50 Trøndelag";"Kvinner";"12 år";2677
"50 Trøndelag";"Kvinner";"13 år";2567
"50 Trøndelag";"Kvinner";"14 år";2590
"50 Trøndelag";"Kvinner";"15 år";2500
"50 Trøndelag";"Kvinner";"16 år";2669
"50 Trøndelag";"Kvinner";"17 år";2751
"50 Trøndelag";"Kvinner";"18 år";2725
"16 Sør-Trøndelag (-2017)";"Menn";"0 år";0
"16 Sør-Trøndelag (-2017)";"Menn";"1 år";0
"16 Sør-Trøndelag (-2017)";"Menn";"2 år";0
"16 Sør-Trøndelag (-2017)";"Menn";"3 år";0
"16 Sør-Trøndelag (-2017)";"Menn";"4 år";0
"16 Sør-Trøndelag (-2017)";"Menn";"5 år";0
"16 Sør-Trøndelag (-2017)";"Menn";"6 år";0
"16 Sør-Trøndelag (-2017)";"Menn";"7 år";0
"16 Sør-Trøndelag (-2017)";"Menn";"8 år";0
"16 Sør-Trøndelag (-2017)";"Menn";"9 år";0
"16 Sør-Trøndelag (-2017)";"Menn";"10 år";0
"16 Sør-Trøndelag (-2017)";"Menn";"11 år";0
"16 Sør-Trøndelag (-2017)";"Menn";"12 år";0
"16 Sør-Trøndelag (-2017)";"Menn";"13 år";0
"16 Sør-Trøndelag (-2017)";"Menn";"14 år";0
"16 Sør-Trøndelag (-2017)";"Menn";"15 år";0
"16 Sør-Trøndelag (-2017)";"Menn";"16 år";0
"16 Sør-Trøndelag (-2017)";"Menn";"17 år";0
"16 Sør-Trøndelag (-2017)";"Menn";"18 år";0
"16 Sør-Trøndelag (-2017)";"Kvinner";"0 år";0
"16 Sør-Trøndelag (-2017)";"Kvinner";"1 år";0
"16 Sør-Trøndelag (-2017)";"Kvinner";"2 år";0
"16 Sør-Trøndelag (-2017)";"Kvinner";"3 år";0
"16 Sør-Trøndelag (-2017)";"Kvinner";"4 år";0
"16 Sør-Trøndelag (-2017)";"Kvinner";"5 år";0
"16 Sør-Trøndelag (-2017)";"Kvinner";"6 år";0
"16 Sør-Trøndelag (-2017)";"Kvinner";"7 år";0
"16 Sør-Trøndelag (-2017)";"Kvinner";"8 år";0
"16 Sør-Trøndelag (-2017)";"Kvinner";"9 år";0
"16 Sør-Trøndelag (-2017)";"Kvinner";"10 år";0
"16 Sør-Trøndelag (-2017)";"Kvinner";"11 år";0
"16 Sør-Trøndelag (-2017)";"Kvinner";"12 år";0
"16 Sør-Trøndelag (-2017)";"Kvinner";"13 år";0
"16 Sør-Trøndelag (-2017)";"Kvinner";"14 år";0
"16 Sør-Trøndelag (-2017)";"Kvinner";"15 år";0
"16 Sør-Trøndelag (-2017)";"Kvinner";"16 år";0
"16 Sør-Trøndelag (-2017)";"Kvinner";"17 år";0
"16 Sør-Trøndelag (-2017)";"Kvinner";"18 år";0
"17 Nord-Trøndelag (-2017)";"Menn";"0 år";0
"17 Nord-Trøndelag (-2017)";"Menn";"1 år";0
"17 Nord-Trøndelag (-2017)";"Menn";"2 år";0
"17 Nord-Trøndelag (-2017)";"Menn";"3 år";0
"17 Nord-Trøndelag (-2017)";"Menn";"4 år";0
"17 Nord-Trøndelag (-2017)";"Menn";"5 år";0
"17 Nord-Trøndelag (-2017)";"Menn";"6 år";0
"17 Nord-Trøndelag (-2017)";"Menn";"7 år";0
"17 Nord-Trøndelag (-2017)";"Menn";"8 år";0
"17 Nord-Trøndelag (-2017)";"Menn";"9 år";0
"17 Nord-Trøndelag (-2017)";"Menn";"10 år";0
"17 Nord-Trøndelag (-2017)";"Menn";"11 år";0
"17 Nord-Trøndelag (-2017)";"Menn";"12 år";0
"17 Nord-Trøndelag (-2017)";"Menn";"13 år";0
"17 Nord-Trøndelag (-2017)";"Menn";"14 år";0
"17 Nord-Trøndelag (-2017)";"Menn";"15 år";0
"17 Nord-Trøndelag (-2017)";"Menn";"16 år";0
"17 Nord-Trøndelag (-2017)";"Menn";"17 år";0
"17 Nord-Trøndelag (-2017)";"Menn";"18 år";0
"17 Nord-Trøndelag (-2017)";"Kvinner";"0 år";0
"17 Nord-Trøndelag (-2017)";"Kvinner";"1 år";0
"17 Nord-Trøndelag (-2017)";"Kvinner";"2 år";0
"17 Nord-Trøndelag (-2017)";"Kvinner";"3 år";0
"17 Nord-Trøndelag (-2017)";"Kvinner";"4 år";0
"17 Nord-Trøndelag (-2017)";"Kvinner";"5 år";0
"17 Nord-Trøndelag (-2017)";"Kvinner";"6 år";0
"17 Nord-Trøndelag (-2017)";"Kvinner";"7 år";0
"17 Nord-Trøndelag (-2017)";"Kvinner";"8 år";0
"17 Nord-Trøndelag (-2017)";"Kvinner";"9 år";0
"17 Nord-Trøndelag (-2017)";"Kvinner";"10 år";0
"17 Nord-Trøndelag (-2017)";"Kvinner";"11 år";0
"17 Nord-Trøndelag (-2017)";"Kvinner";"12 år";0
"17 Nord-Trøndelag (-2017)";"Kvinner";"13 år";0
"17 Nord-Trøndelag (-2017)";"Kvinner";"14 år";0
"17 Nord-Trøndelag (-2017)";"Kvinner";"15 år";0
"17 Nord-Trøndelag (-2017)";"Kvinner";"16 år";0
"17 Nord-Trøndelag (-2017)";"Kvinner";"17 år";0
"17 Nord-Trøndelag (-2017)";"Kvinner";"18 år";0
"18 Nordland";"Menn";"0 år";1190
"18 Nordland";"Menn";"1 år";1239
"18 Nordland";"Menn";"2 år";1256
"18 Nordland";"Menn";"3 år";1271
"18 Nordland";"Menn";"4 år";1347
"18 Nordland";"Menn";"5 år";1386
"18 Nordland";"Menn";"6 år";1407
"18 Nordland";"Menn";"7 år";1414
"18 Nordland";"Menn";"8 år";1473
"18 Nordland";"Menn";"9 år";1471
"18 Nordland";"Menn";"10 år";1505
"18 Nordland";"Menn";"11 år";1361
"18 Nordland";"Menn";"12 år";1437
"18 Nordland";"Menn";"13 år";1469
"18 Nordland";"Menn";"14 år";1501
"18 Nordland";"Menn";"15 år";1454
"18 Nordland";"Menn";"16 år";1500
"18 Nordland";"Menn";"17 år";1574
"18 Nordland";"Menn";"18 år";1774
"18 Nordland";"Kvinner";"0 år";1115
"18 Nordland";"Kvinner";"1 år";1165
"18 Nordland";"Kvinner";"2 år";1250
"18 Nordland";"Kvinner";"3 år";1236
"18 Nordland";"Kvinner";"4 år";1294
"18 Nordland";"Kvinner";"5 år";1259
"18 Nordland";"Kvinner";"6 år";1303
"18 Nordland";"Kvinner";"7 år";1355
"18 Nordland";"Kvinner";"8 år";1402
"18 Nordland";"Kvinner";"9 år";1353
"18 Nordland";"Kvinner";"10 år";1355
"18 Nordland";"Kvinner";"11 år";1308
"18 Nordland";"Kvinner";"12 år";1373
"18 Nordland";"Kvinner";"13 år";1341
"18 Nordland";"Kvinner";"14 år";1352
"18 Nordland";"Kvinner";"15 år";1408
"18 Nordland";"Kvinner";"16 år";1401
"18 Nordland";"Kvinner";"17 år";1519
"18 Nordland";"Kvinner";"18 år";1535
"19 Troms - Romsa";"Menn";"0 år";824
"19 Troms - Romsa";"Menn";"1 år";924
"19 Troms - Romsa";"Menn";"2 år";896
"19 Troms - Romsa";"Menn";"3 år";914
"19 Troms - Romsa";"Menn";"4 år";912
"19 Troms - Romsa";"Menn";"5 år";935
"19 Troms - Romsa";"Menn";"6 år";951
"19 Troms - Romsa";"Menn";"7 år";1030
"19 Troms - Romsa";"Menn";"8 år";966
"19 Troms - Romsa";"Menn";"9 år";1039
"19 Troms - Romsa";"Menn";"10 år";975
"19 Troms - Romsa";"Menn";"11 år";1035
"19 Troms - Romsa";"Menn";"12 år";1043
"19 Troms - Romsa";"Menn";"13 år";972
"19 Troms - Romsa";"Menn";"14 år";898
"19 Troms - Romsa";"Menn";"15 år";987
"19 Troms - Romsa";"Menn";"16 år";1031
"19 Troms - Romsa";"Menn";"17 år";1122
"19 Troms - Romsa";"Menn";"18 år";1145
"19 Troms - Romsa";"Kvinner";"0 år";813
"19 Troms - Romsa";"Kvinner";"1 år";856
"19 Troms - Romsa";"Kvinner";"2 år";875
"19 Troms - Romsa";"Kvinner";"3 år";878
"19 Troms - Romsa";"Kvinner";"4 år";890
"19 Troms - Romsa";"Kvinner";"5 år";848
"19 Troms - Romsa";"Kvinner";"6 år";881
"19 Troms - Romsa";"Kvinner";"7 år";975
"19 Troms - Romsa";"Kvinner";"8 år";956
"19 Troms - Romsa";"Kvinner";"9 år";956
"19 Troms - Romsa";"Kvinner";"10 år";999
"19 Troms - Romsa";"Kvinner";"11 år";952
"19 Troms - Romsa";"Kvinner";"12 år";879
"19 Troms - Romsa";"Kvinner";"13 år";923
"19 Troms - Romsa";"Kvinner";"14 år";927
"19 Troms - Romsa";"Kvinner";"15 år";920
"19 Troms - Romsa";"Kvinner";"16 år";917
"19 Troms - Romsa";"Kvinner";"17 år";1040
"19 Troms - Romsa";"Kvinner";"18 år";979
"20 Finnmark - Finnmárku";"Menn";"0 år";359
"20 Finnmark - Finnmárku";"Menn";"1 år";438
"20 Finnmark - Finnmárku";"Menn";"2 år";415
"20 Finnmark - Finnmárku";"Menn";"3 år";367
"20 Finnmark - Finnmárku";"Menn";"4 år";382
"20 Finnmark - Finnmárku";"Menn";"5 år";405
"20 Finnmark - Finnmárku";"Menn";"6 år";388
"20 Finnmark - Finnmárku";"Menn";"7 år";430
"20 Finnmark - Finnmárku";"Menn";"8 år";473
"20 Finnmark - Finnmárku";"Menn";"9 år";468
"20 Finnmark - Finnmárku";"Menn";"10 år";468
"20 Finnmark - Finnmárku";"Menn";"11 år";438
"20 Finnmark - Finnmárku";"Menn";"12 år";438
"20 Finnmark - Finnmárku";"Menn";"13 år";426
"20 Finnmark - Finnmárku";"Menn";"14 år";460
"20 Finnmark - Finnmárku";"Menn";"15 år";491
"20 Finnmark - Finnmárku";"Menn";"16 år";483
"20 Finnmark - Finnmárku";"Menn";"17 år";565
"20 Finnmark - Finnmárku";"Menn";"18 år";566
"20 Finnmark - Finnmárku";"Kvinner";"0 år";392
"20 Finnmark - Finnmárku";"Kvinner";"1 år";370
"20 Finnmark - Finnmárku";"Kvinner";"2 år";387
"20 Finnmark - Finnmárku";"Kvinner";"3 år";412
"20 Finnmark - Finnmárku";"Kvinner";"4 år";441
"20 Finnmark - Finnmárku";"Kvinner";"5 år";387
"20 Finnmark - Finnmárku";"Kvinner";"6 år";418
"20 Finnmark - Finnmárku";"Kvinner";"7 år";414
"20 Finnmark - Finnmárku";"Kvinner";"8 år";460
"20 Finnmark - Finnmárku";"Kvinner";"9 år";425
"20 Finnmark - Finnmárku";"Kvinner";"10 år";405
"20 Finnmark - Finnmárku";"Kvinner";"11 år";474
"20 Finnmark - Finnmárku";"Kvinner";"12 år";422
"20 Finnmark - Finnmárku";"Kvinner";"13 år";416
"20 Finnmark - Finnmárku";"Kvinner";"14 år";424
"20 Finnmark - Finnmárku";"Kvinner";"15 år";484
"20 Finnmark - Finnmárku";"Kvinner";"16 år";461
"20 Finnmark - Finnmárku";"Kvinner";"17 år";502
"20 Finnmark - Finnmárku";"Kvinner";"18 år";485
